Country Name,Country Code,1990,1993,1996,1998,2000,2002,2003,2005,2006,2007,2008,2010,2011,2012,2013
Afghanistan,AFG,50,32132,18775,,,3,22,32,35,42,37,6434,3009,16187,16863
Angola,AGO,11557,10878,9381,10605,12086,12250,13382,13984,13090,12069,12710,15155,16223,23413,23783
Albania,ALB,,3000,4925,22332,523,17,26,56,56,77,65,76,82,86,93
United Arab Emirates,ARE,,433,464,529,562,163,160,104,174,159,209,538,677,631,603
Argentina,ARG,11735,11636,10430,2270,2396,2439,2642,3074,3158,3263,2845,3276,3361,3488,3362
Armenia,ARM,,334000,218950,310012,280591,247550,239289,219550,113714,4566,3953,3296,2918,2854,13732
Australia,AUS,97915,53505,67313,69745,60246,59436,56258,64964,68948,22164,20919,21805,23434,30083,34503
Austria,AUT,34938,57687,89116,80300,15492,14130,16109,21230,25486,30773,37557,42630,47073,51730,55598
Azerbaijan,AZE,,228840,233692,221635,287,458,326,3004,2618,2352,2061,1891,1730,1468,1380
Burundi,BDI,268403,271883,20733,25093,27136,40533,40971,20681,13176,24483,21093,29365,35659,41813,45490
Belgium,BEL,25911,24908,36060,15509,18832,12578,12595,15282,16820,17575,17026,17892,22402,22024,25633
Benin,BEN,456,156241,5960,2903,4296,5021,5034,30294,10797,7621,6933,7139,7217,4966,194
Burkina Faso,BFA,350,6604,28381,564,696,457,466,511,511,535,557,531,546,39306,29234
Bangladesh,BGD,145,198954,30692,22277,21627,22025,19792,21098,26311,27573,28389,229253,229669,230697,231145
Bulgaria,BGR,,450,1430,240,1474,3658,4068,4413,4504,4836,5129,5530,5688,2288,4320
Bosnia and Herzegovina,BIH,,,,40000,38152,28022,22517,10568,10318,7367,7257,7016,6933,6903,6926
Belarus,BLR,,,30525,75,458,618,638,725,690,649,609,589,595,576,604
Belize,BLZ,30657,8912,8534,3483,1250,1049,861,624,488,358,277,134,78,28,21
Bermuda,BMU,,,,,,,,,,,,,,,
Bolivia,BOL,200,669,698,349,351,350,527,535,567,632,664,695,716,733,748
Brazil,BRA,5335,6198,2212,2347,2722,3182,3193,3458,3492,20783,3852,4357,4477,4689,5196
Botswana,BWA,1179,514,214,2137,3551,2805,2838,3109,3160,2465,3019,2986,3312,2785,2773
Central African Republic,CAF,4284,44129,36564,43013,55661,50725,44753,24569,12357,7535,7429,21574,16730,14014,14322
Canada,CAN,154761,183241,138435,119371,126991,129950,133094,147171,151827,175741,173651,165549,164883,163756,160349
Switzerland,CHE,40943,56586,84413,81903,57653,54113,50144,48030,48523,45653,46132,48813,50416,50747,52464
Chile,CHL,58,239,313,305,364,413,466,806,1134,1376,1613,1621,1674,1695,1743
China,CHN,287276,287423,290100,292345,294110,297277,299354,301041,301027,301078,300967,300986,301018,301037,301047
Cote d'Ivoire,CIV,272281,251588,327696,151182,120691,44749,75971,41627,27288,24647,24811,26218,24221,3980,2980
Cameroon,CMR,49876,44013,46407,47826,43680,58288,58583,52042,35083,60137,81037,104275,100373,98969,114753
"Congo, Rep.",COG,2990,13646,20451,27174,123190,109201,91362,66075,55788,38472,24779,133112,141232,98455,51037
Colombia,COL,460,298,220,226,239,205,186,155,143,168,170,212,219,219,224
Costa Rica,CRI,276210,24834,23176,22986,5519,12433,13508,11253,11515,17190,18136,19505,20057,20449,20569
Cuba,CUB,3988,3606,1694,1067,954,1005,836,706,667,615,525,411,384,371,384
Curacao,CUW,,,,,,,,,,,,7,6,14,15
Cayman Islands,CYM,,,,,,,,,,,,1,3,3,6
Cyprus,CYP,33,82,49,84,76,173,349,701,924,1194,1465,3394,3503,3631,3883
Czech Republic,CZE,,188,2266,1805,1186,1297,1516,1802,1887,2037,2110,2449,2449,2805,3184
